"stock","multiplier","comp_b","idxB_lag","idxB_range_3","interval","upper_constraint","lower_constraint","sigmaL","sigmaB","sigmaR","sigmaR_rho","risk_Blim","risk_Bmsy","risk_halfBmsy","risk_collapse","SSB","Fbar","Catch","SSB_rel","Fbar_rel","Catch_rel","ICV","sensitivity","fhist","n_yrs","n_iter","steepness","SSB0_rel","n_iter_part","stat_metric"
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.1,0,0.03236,0.1834,0.01716,0,337.312526544815,0.0912472265241142,43.9941897473113,1.18717061844705,0.789503610382881,0.911131834605748,0.22142482898193,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.11,0,0.03224,0.18376,0.01712,0,337.633910435721,0.0912519363464603,44.0277819756041,1.18830172827103,0.789544361448839,0.91182753894236,0.22130797648531,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.12,0,0.03224,0.1836,0.01708,0,337.949695014552,0.0912271692569183,44.0853811294946,1.18941313132974,0.789330067739792,0.913020433346311,0.22122119035284,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.13,0,0.03224,0.184,0.01708,0,338.257507327512,0.091197399442395,44.1484608858099,1.19049647601808,0.789072488666522,0.914326832541936,0.221038227510051,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.14,0,0.03224,0.1838,0.01704,0,338.614178325644,0.0911589902719684,44.2087546026535,1.1917517787303,0.788740158798768,0.915575532089726,0.220802593300777,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.15,0,0.03216,0.18388,0.01704,0,339.035155956181,0.091143458228038,44.3035657602473,1.19323340847917,0.788605770004426,0.917539097379954,0.220952796852656,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.16,0,0.03212,0.18384,0.01708,0,339.38487436084,0.0911413742197289,44.3603097531421,1.19446424155553,0.788587738419831,0.918714281163225,0.220828060432634,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.17,0,0.03212,0.1842,0.01708,0,339.897355699651,0.0911473041595627,44.4558712285281,1.19626791838357,0.788639046378292,0.9206933857424,0.220868537498817,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.18,0,0.03212,0.18404,0.01708,0,340.319634984434,0.0911613999853213,44.5347523333919,1.19775412930141,0.78876100849979,0.922327035235734,0.220807215235825,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.19,0,0.03208,0.18412,0.01704,0,340.798333869026,0.0911590794418988,44.6148186054923,1.19943890886383,0.788740930328871,0.923985229870249,0.220892897047694,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.2,0,0.03204,0.18408,0.017,0,341.242603253208,0.0911582992692239,44.7222938904272,1.20100251388312,0.788734179996098,0.9262110727395,0.220973811217478,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.21,0,0.03212,0.18452,0.01704,0,341.759420822836,0.091153107897264,44.8133559360284,1.20282145206501,0.788689262390804,0.928096992883686,0.220911409212774,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.22,0,0.03208,0.1848,0.01704,0,342.288459845549,0.0911456876086478,44.9161316121379,1.20468340362136,0.788625059402114,0.930225505554663,0.220884360764062,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.23,0,0.03208,0.18468,0.01704,0,342.859895867467,0.0911011527642104,45.0063260644965,1.20669457131351,0.788239728013857,0.932093457602895,0.221044647899036,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.24,0,0.03208,0.18448,0.01704,0,343.57423352334,0.0911229703111061,45.0981110980594,1.2092086809595,0.788428501225931,0.933994351027681,0.220843692794646,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.25,0,0.03204,0.1842,0.01704,0,344.309376031759,0.0911142435627429,45.2226699572966,1.21179601323354,0.788352994280656,0.936573999444553,0.220616802306226,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.26,0,0.032,0.18436,0.01704,0,344.878434161435,0.0910948180803145,45.3371045604681,1.21379881193971,0.788184918065139,0.938943971718821,0.220344543888434,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.27,0,0.03196,0.1842,0.01704,0,345.562346966536,0.0910881239003148,45.4494663581929,1.21620584139727,0.788126997627667,0.94127101561913,0.220392297801095,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.28,0,0.032,0.18428,0.01708,0,346.34825567183,0.0910822097061953,45.5679605496747,1.21897184517799,0.788075825906753,0.943725063089832,0.220334410078952,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.29,0,0.03204,0.18396,0.01708,0,347.231997401489,0.0910780014501222,45.6847850035445,1.2220821720505,0.78803941457142,0.946144529832885,0.220170241301492,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.3,0,0.03204,0.18392,0.01708,0,348.123614413419,0.0910693314169033,45.8215649591348,1.22522021595985,0.787964398345841,0.948977280534514,0.220040444041419,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.31,0,0.03204,0.18428,0.01708,0,349.056930374525,0.0910522530086022,45.9492068209992,1.22850501921961,0.787816629854382,0.951620778788285,0.219871778952913,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.32,0,0.03208,0.18432,0.017,0,349.899974301932,0.0910413219511857,46.1051427539067,1.23147211027587,0.787722050439485,0.954850255077016,0.220016857818583,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.33,0,0.03204,0.18396,0.017,0,350.847680020983,0.0910585449719494,46.2357202496576,1.2348075582538,0.787871070169647,0.957554551120316,0.22005949942696,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.34,0,0.03204,0.18404,0.017,0,351.721215898812,0.0910307292562351,46.3928716994921,1.23788196565556,0.787630398657554,0.960809201100712,0.220034901289073,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.35,0,0.032,0.18388,0.01696,0,352.547268984553,0.0910418272545103,46.5432814412688,1.24078925748582,0.787726422504415,0.963924228443067,0.220074190834267,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.36,0,0.03204,0.18336,0.01696,0,353.534610956037,0.0910153041840064,46.6989416877326,1.24426420515798,0.7874969354206,0.967147995189319,0.219912541978859,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.37,0,0.03196,0.18296,0.01696,0,354.550444811484,0.0909977849920276,46.8408799998762,1.24783942994659,0.787345353111251,0.970087576881517,0.219836787341964,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.38,0,0.03192,0.18244,0.01692,0,355.591745228323,0.0909976594723759,46.9980884966196,1.2515042842362,0.787344267070371,0.97334340831917,0.219740748354441,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.39,0,0.03192,0.18232,0.01692,0,356.636514303473,0.0909839586731784,47.1879477011201,1.25518134646032,0.787225722859838,0.9772754449428,0.219467462094916,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.4,0,0.03196,0.18224,0.01692,0,357.726399950864,0.0909809544496759,47.3852791379231,1.25901719635093,0.787199729244558,0.981362233563579,0.219447606828879,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.41,0,0.03192,0.18228,0.01692,0,358.840178782673,0.0909467455332812,47.5571476845837,1.26293713824611,0.786903741475618,0.984921678688705,0.219327591396572,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.42,0,0.03196,0.18184,0.01688,0,359.98502754847,0.090932086343114,47.7515312793395,1.26696643069855,0.786776904923942,0.988947416685571,0.219042766621036,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.43,0,0.03204,0.18136,0.01692,0,361.120290094355,0.0909138785864102,47.9488808547198,1.27096198447327,0.786619364906539,0.9930345809613,0.219008550675957,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.44,0,0.03208,0.18096,0.01692,0,362.286122167458,0.0909236810040063,48.1517202639209,1.27506512762484,0.786704178926399,0.997235441213467,0.218782155160703,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.45,0,0.03208,0.18044,0.01692,0,363.564954992805,0.0909260880844438,48.3574285165848,1.27956597664966,0.786725005846496,1.00149571600702,0.218805317512337,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.46,0,0.03208,0.18004,0.01692,0,364.901655990567,0.0909050402332487,48.5663547475178,1.28427049256683,0.786542892316668,1.00582263602033,0.21889907636622,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.47,0,0.03208,0.17948,0.01692,0,366.225139662962,0.0909065904948004,48.7754396154368,1.28892849013946,0.786556305733587,1.0101528414495,0.219015882004177,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.48,0,0.03212,0.17916,0.01696,0,367.601455905832,0.0908873165199531,49.0088204646077,1.29377243181563,0.786389540415801,1.01498622336852,0.218797538604039,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.49,0,0.03216,0.17848,0.01696,0,368.897083763628,0.0909158193890818,49.2406605153909,1.29833239091639,0.786636157424785,1.01978769492689,0.218824800715755,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.5,0,0.03224,0.17788,0.01692,0,370.325489226263,0.0909078967993963,49.4535260188949,1.3033596604751,0.786567608347749,1.02419619836441,0.218890686166496,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.51,0,0.03224,0.17712,0.01692,0,371.885934728072,0.0908814182577806,49.6745045766339,1.30885164463119,0.786338506543786,1.0287727253985,0.218796122870794,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.52,0,0.0322,0.17644,0.01692,0,373.382034384994,0.0908700360111382,49.9120404206413,1.31411716374238,0.786240023278477,1.0336921584095,0.218830195755151,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.53,0,0.0322,0.17564,0.01696,0,374.91611516567,0.0908785566957629,50.1528707210823,1.31951635732644,0.786313747286651,1.03867982052419,0.218940825415371,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.54,0,0.0322,0.17532,0.01692,0,376.662028341315,0.0908677696652301,50.4088112322632,1.32566109451043,0.786220414043819,1.04398041928147,0.219029366582781,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.55,0,0.03216,0.17468,0.01688,0,378.264293090923,0.0908559857338724,50.6616880110568,1.33130026140765,0.786118455258815,1.04921756729386,0.218988754197777,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.56,0,0.0322,0.17364,0.01684,0,380.003404654976,0.0908531760010278,50.9225949731251,1.33742106033615,0.786094144446207,1.0546210226223,0.219009239976173,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.57,0,0.03224,0.17304,0.0168,0,381.800586025242,0.0908456188602099,51.1968410865714,1.34374623580666,0.786028757363364,1.06030073546422,0.219386838251498,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.58,0,0.0322,0.17264,0.0168,0,383.487512597769,0.0908277351787017,51.4302030787057,1.34968336978416,0.785874021360359,1.06513372684881,0.219429304556035,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.59,0,0.0322,0.17176,0.0168,0,385.210189612705,0.090835511713712,51.7015031300867,1.35574632735693,0.785941306720153,1.07075242593074,0.219381912117175,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.6,0,0.03224,0.17116,0.01684,0,386.98402959793,0.0908404516489015,51.9667010114922,1.36198935287945,0.785984048804661,1.07624474738515,0.219519444198222,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.61,0,0.03224,0.17044,0.01684,0,388.900648595912,0.0908667281925881,52.2500625259768,1.36873488879082,0.786211402850358,1.08211324270309,0.219326291210516,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.62,0,0.0322,0.1698,0.01684,0,390.816562989023,0.090854353806593,52.5397935596312,1.37547794484705,0.786104335240837,1.0881136525243,0.219535281325404,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.63,0,0.0322,0.16904,0.01688,0,392.761176940757,0.0908506942205699,52.8092179899682,1.38232200893019,0.78607267119484,1.09369350697577,0.219582249049079,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.64,0,0.03216,0.16816,0.01688,0,394.893134689821,0.0908408692671785,53.1254955420348,1.38982542905332,0.785987662187226,1.10024370253374,0.219173431396589,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.65,0,0.0322,0.1674,0.01684,0,396.893523283946,0.0908484461103723,53.4020057308596,1.39686579185499,0.786053219742065,1.1059703050028,0.218885886011253,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.66,0,0.03228,0.16672,0.01684,0,398.994374792863,0.0908410649006649,53.7111215678628,1.40425973364142,0.785989354878058,1.11237217946149,0.218986810507292,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.67,0,0.03228,0.16604,0.0168,0,401.045358243899,0.0908480998728239,53.9967787718166,1.41147816491918,0.786050223971071,1.11828821914313,0.219153409145653,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.68,0,0.03228,0.16564,0.0168,0,403.066314041384,0.0908377500935592,54.3117750032952,1.41859091394315,0.785960673982459,1.12481187819742,0.219206477566985,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.69,0,0.03228,0.16504,0.0168,0,405.460868767063,0.0908202084981998,54.6164562192828,1.42701854348809,0.785808897831055,1.13112191042866,0.219221429925229,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.7,0,0.03228,0.16444,0.0168,0,407.665388943786,0.0908006686419968,54.9825052254356,1.43477734689924,0.785639832012769,1.13870288656317,0.219084672521343,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.71,0,0.03232,0.16388,0.0168,0,410.034982673102,0.0907640992791448,55.3132582908701,1.44311712627807,0.785323420817593,1.14555287400564,0.219083519307541,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.72,0,0.03232,0.1634,0.0168,0,412.336253436863,0.0907365325236812,55.6490204639047,1.45121644314547,0.785084903398552,1.15250660145159,0.219237193024966,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.73,0,0.03232,0.16284,0.0168,0,414.806050597753,0.0907177722426651,55.988806499414,1.45990888825851,0.784922582743358,1.15954366420204,0.219372104620628,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.74,0,0.0324,0.16208,0.0168,0,417.365610359904,0.0907103459357725,56.3695545186086,1.46891725262882,0.78485832768239,1.16742906096111,0.21941439025486,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.75,0,0.03244,0.16104,0.01676,0,419.637235291721,0.090691631456989,56.740398558305,1.47691223106265,0.78469640332448,1.1751093435662,0.21941131362099,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.76,0,0.03244,0.16032,0.01676,0,422.122964857185,0.0906928620024516,57.1136381222893,1.48566075023492,0.784707050443548,1.18283923814168,0.219499769788487,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.77,0,0.03248,0.15968,0.01676,0,424.890820778732,0.0906931246938132,57.4745903790969,1.49540221243264,0.78470932334308,1.19031465918794,0.219558935805314,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.78,0,0.0324,0.15916,0.01676,0,427.450340365681,0.0906862071528743,57.8700052202192,1.50441043540642,0.784649470306946,1.19850380988469,0.219710749749305,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.79,0,0.03232,0.15872,0.01676,0,430.364187686279,0.0907066324047404,58.2488488529655,1.51466571397876,0.784826196884899,1.20634976627383,0.219842873250883,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.8,0,0.0324,0.15808,0.01676,0,433.097697583774,0.0906900464287866,58.6117208803281,1.5242862954282,0.784682689094076,1.21386494629912,0.219966020806142,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.81,0,0.03248,0.1574,0.01676,0,435.851040158138,0.0907007822962608,58.9998369518844,1.53397667793574,0.784775579655842,1.22190293745996,0.219913066770102,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.82,0,0.0324,0.15644,0.01676,0,438.528796165065,0.090688598732377,59.4411530242586,1.54340103370264,0.784670163107416,1.23104271534819,0.220048018519568,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.83,0,0.0324,0.15552,0.0168,0,441.474088598577,0.0906620651299699,59.8441229676031,1.55376698327356,0.78444058489781,1.23938833430104,0.220473832349923,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.84,0,0.03248,0.15464,0.0168,0,444.276479426344,0.0906647737060373,60.2814953261785,1.5636299909899,0.784464020465835,1.24844643678602,0.220551737473487,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.85,0,0.03248,0.15404,0.0168,0,447.285671517256,0.0906835797773333,60.7037802275041,1.57422083524993,0.784626737314893,1.25719207385948,0.220946429821915,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.86,0,0.03248,0.15328,0.0168,0,450.094446003007,0.0906718832099868,61.1238599795662,1.58410631023505,0.784525534434533,1.26589204168195,0.220860181079532,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.87,0,0.03248,0.15244,0.0168,0,453.187741581857,0.0906707488157069,61.5877318106513,1.59499315651675,0.784515719249856,1.27549895557003,0.220847015943102,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.88,0,0.03248,0.1518,0.01684,0,456.154521573582,0.0906623971215254,62.0295449864515,1.60543473149663,0.784443457407383,1.28464902860768,0.221004881500812,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.89,0,0.03252,0.15112,0.0168,0,459.314138117227,0.0906633636310702,62.4847820102444,1.61655499425295,0.78445181999334,1.29407711324911,0.221040591056599,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.9,0,0.03256,0.15008,0.0168,0,462.536780926882,0.0906336996581381,62.9379940380741,1.62789707779951,0.784195156699338,1.30346325966421,0.221329817431714,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.91,0,0.03256,0.14952,0.0168,0,465.831296237722,0.0906098880349531,63.4455309199206,1.63949211643954,0.78398913002664,1.31397448882749,0.221414475602012,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.92,0,0.03256,0.14896,0.01684,0,469.144545742534,0.0906259226963299,63.9538425046837,1.65115309002978,0.784127867646736,1.32450176230239,0.221344832089036,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.93,0,0.03264,0.1482,0.01684,0,472.382655628527,0.0906238092012432,64.4325445400793,1.66254960991396,0.784109580932005,1.33441581382248,0.221299624615641,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.94,0,0.03256,0.14752,0.01684,0,475.969888467342,0.0906498898935036,64.9079850196659,1.67517486718322,0.784335240401177,1.34426231761991,0.22162495005565,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.95,0,0.0326,0.14704,0.01688,0,479.662731124219,0.0906703110826807,65.4156168718851,1.6881718179508,0.784511931827293,1.35477551364587,0.221691576144126,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.96,0,0.03252,0.1466,0.01684,0,483.330517546585,0.0906884207178882,65.9103395678101,1.70108058336184,0.784668622862447,1.36502135747543,0.221906442273048,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.97,0,0.0326,0.14592,0.01684,0,486.967031273751,0.0906850031292074,66.4431919971963,1.71387928459803,0.784639052663932,1.37605687862832,0.222026921500177,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.98,0,0.03256,0.1452,0.01684,0,490.471619380294,0.0906945599309255,66.9516320968245,1.72621367393264,0.784721741527446,1.38658681368161,0.222331710351842,"rec_var","one-way",50,500,NA,NA,NA,NA
"pol",1,TRUE,1,1,1,Inf,0,0.2,0.2,0.99,0,0.0326,0.1446,0.0168,0,493.920889534184,0.0906757531529782,67.4333627393267,1.73835337186717,0.784559018564188,1.39656358849233,0.22262763070955,"rec_var","one-way",50,500,NA,NA,NA,NA
